mes,tipo_gasto,monto,monto_mes_anterior,variacion_pct,acumulado_ytd
2024-01-01,MANO DE OBRA,3450000.0,,,3450000.0
2024-02-01,MANO DE OBRA,400000.0,3450000.0,-88.41,3850000.0
2024-04-01,MATERIALES,5664500.0,,,5664500.0
2024-05-01,INGRESOS,750000000.0,,,750000000.0
2024-05-01,MANO DE OBRA,38944000.0,400000.0,9636.0,42794000.0
2024-05-01,MATERIALES,65085089.0,5664500.0,1049.0,70749589.0
2024-06-01,MANO DE OBRA,69342750.0,38944000.0,78.06,112136750.0
2024-06-01,MATERIALES,42119771.0,65085089.0,-35.29,112869360.0
2024-07-01,INGRESOS,250000000.0,750000000.0,-66.67,1000000000.0
2024-07-01,MANO DE OBRA,62385950.0,69342750.0,-10.03,174522700.0
2024-07-01,MATERIALES,82914896.0,42119771.0,96.86,195784256.0
2024-08-01,INGRESOS,47000000.0,250000000.0,-81.2,1047000000.0
2024-08-01,MANO DE OBRA,91450000.0,62385950.0,46.59,265972700.0
2024-08-01,MATERIALES,88888796.0,82914896.0,7.2,284673052.0
2024-09-01,INGRESOS,150000000.0,47000000.0,219.15,1197000000.0
2024-09-01,MANO DE OBRA,160499000.0,91450000.0,75.5,426471700.0
2024-09-01,MATERIALES,271918375.0,88888796.0,205.91,556591427.0
2024-10-01,INGRESOS,156450000.0,150000000.0,4.3,1353450000.0
2024-10-01,MANO DE OBRA,211447000.0,160499000.0,31.74,637918700.0
2024-10-01,MATERIALES,233607040.0,271918375.0,-14.09,790198467.0
2024-11-01,INGRESOS,149750000.0,156450000.0,-4.28,1503200000.0
2024-11-01,MANO DE OBRA,350739950.0,211447000.0,65.88,988658650.0
2024-11-01,MATERIALES,149092695.0,233607040.0,-36.18,939291162.0
2024-12-01,INGRESOS,294450000.0,149750000.0,96.63,1797650000.0
2024-12-01,MANO DE OBRA,168387980.0,350739950.0,-51.99,1157046630.0
2024-12-01,MATERIALES,120577346.0,149092695.0,-19.13,1059868508.0
2025-01-01,INGRESOS,757950000.0,294450000.0,157.41,2555600000.0
2025-01-01,MANO DE OBRA,305346330.0,168387980.0,81.33,1462392960.0
2025-01-01,MATERIALES,224665778.0,120577346.0,86.33,1284534286.0
2025-02-01,INGRESOS,342000000.0,757950000.0,-54.88,2897600000.0
2025-02-01,MANO DE OBRA,368500721.0,305346330.0,20.68,1830893681.0
2025-02-01,MATERIALES,220492237.0,224665778.0,-1.86,1505026523.0
2025-03-01,MANO DE OBRA,411854333.0,368500721.0,11.76,2242748014.0
2025-03-01,MATERIALES,250672656.0,220492237.0,13.69,1755699179.0
2025-04-01,INGRESOS,56038797.0,342000000.0,-83.61,2953638797.0
2025-04-01,MANO DE OBRA,214341800.0,411854333.0,-47.96,2457089814.0
2025-04-01,MATERIALES,387904630.0,250672656.0,54.75,2143603809.0
2025-05-01,INGRESOS,1411900000.0,56038797.0,2419.5,4365538797.0
2025-05-01,MANO DE OBRA,313050820.0,214341800.0,46.05,2770140634.0
2025-05-01,MATERIALES,408640517.0,387904630.0,5.35,2552244326.0
2025-06-01,INGRESOS,476950000.0,1411900000.0,-66.22,4842488797.0
2025-06-01,MANO DE OBRA,225837500.0,313050820.0,-27.86,2995978134.0
2025-06-01,MATERIALES,340474254.0,408640517.0,-16.68,2892718580.0
2025-07-01,INGRESOS,541450000.0,476950000.0,13.52,5383938797.0
2025-07-01,MANO DE OBRA,289120000.0,225837500.0,28.02,3285098134.0
2025-07-01,MATERIALES,555492398.0,340474254.0,63.15,3448210978.0
2025-08-01,INGRESOS,398050000.0,541450000.0,-26.48,5781988797.0
2025-08-01,MANO DE OBRA,354456350.0,289120000.0,22.6,3639554484.0
2025-08-01,MATERIALES,424078534.0,555492398.0,-23.66,3872289512.0
2025-09-01,INGRESOS,0.0,398050000.0,-100.0,5781988797.0
2025-09-01,MANO DE OBRA,324779200.0,354456350.0,-8.37,3964333684.0
2025-09-01,MATERIALES,441361013.0,424078534.0,4.08,4313650525.0
2025-10-01,INGRESOS,162600000.0,0.0,,5944588797.0
2025-10-01,MANO DE OBRA,266758500.0,324779200.0,-17.86,4231092184.0
2025-10-01,MATERIALES,490967016.0,441361013.0,11.24,4804617541.0
2025-11-01,INGRESOS,13350000.0,162600000.0,-91.79,5957938797.0
2025-11-01,MANO DE OBRA,449435000.0,266758500.0,68.48,4680527184.0
2025-11-01,MATERIALES,397830600.0,490967016.0,-18.97,5202448141.0
2025-12-01,MANO DE OBRA,440288500.0,449435000.0,-2.04,5120815684.0
2025-12-01,MATERIALES,556030535.0,397830600.0,39.77,5758478676.0
2026-01-01,MANO DE OBRA,321209000.0,440288500.0,-27.05,5442024684.0
2026-01-01,MATERIALES,318079299.0,556030535.0,-42.79,6076557975.0
2026-02-01,MANO DE OBRA,325744000.0,321209000.0,1.41,5767768684.0
2026-02-01,MATERIALES,883260096.0,318079299.0,177.69,6959818071.0
2026-03-01,MANO DE OBRA,71294000.0,325744000.0,-78.11,5839062684.0
2026-03-01,MATERIALES,110238306.0,883260096.0,-87.52,7070056377.0
2026-12-01,MANO DE OBRA,18812000.0,71294000.0,-73.61,5857874684.0
2026-12-01,MATERIALES,2474000.0,110238306.0,-97.76,7072530377.0
,INGRESOS,8975875742.0,13350000.0,67135.02,14933814539.0
,MANO DE OBRA,5000000.0,18812000.0,-73.42,5862874684.0
,MATERIALES,,2474000.0,,7072530377.0
